date,open,high,low,close,volume
1999-01-04,13.500988006591797,14.443121910095215,13.401198387145996,14.440187454223633,4901196
1999-01-05,14.322787284851074,15.203286170959473,13.911887168884277,14.736621856689453,3856051
1999-01-06,15.027186393737793,15.197416305541992,14.161361694335938,14.205387115478516,1715504
1999-01-07,14.146686553955078,14.381486892700195,13.91482162475586,14.002872467041016,1126917
1999-01-08,14.199517250061035,15.124040603637695,14.152557373046875,14.851086616516113,2797276
1999-01-11,15.555485725402832,15.555485725402832,14.689661979675293,14.968485832214355,2525555
1999-01-12,14.628026962280273,15.027186393737793,14.355072021484375,14.557586669921875,2132029
1999-01-13,15.261985778808594,15.408736228942871,13.926562309265137,14.087986946105957,2197616
1999-01-14,14.023417472839355,14.302242279052734,13.618388175964355,13.856122016906738,752981
1999-01-15,14.176036834716797,14.381486892700195,13.618388175964355,13.671217918395996,1053663
1999-01-18,13.820901870727539,13.89427661895752,13.383587837219238,13.500988006591797,481261
1999-01-19,12.91398811340332,12.91398811340332,12.42090892791748,12.42090892791748,1005111
1999-01-20,12.42090892791748,12.42090892791748,12.42090892791748,12.42090892791748,0
1999-01-21,11.563888549804688,12.15088939666748,11.519864082336426,12.033489227294922,1143101
1999-01-22,12.297638893127441,12.385688781738281,11.634328842163086,11.786949157714844,629472
1999-01-25,11.593238830566406,11.739989280700684,11.103095054626465,11.241040229797363,773424
1999-01-26,11.241040229797363,11.241040229797363,11.241040229797363,11.241040229797363,0
1999-01-27,11.446490287780762,12.089254379272461,11.446490287780762,11.913153648376465,592845
1999-01-28,11.786949157714844,11.907283782958984,11.241040229797363,11.285064697265625,361158
1999-01-29,11.299739837646484,11.329090118408203,10.924059867858887,11.243974685668945,410562
1999-02-01,10.862424850463867,11.152990341186523,10.683389663696289,10.683389663696289,280238
1999-02-02,10.747960090637207,10.747960090637207,10.216726303100586,10.272491455078125,566440
1999-02-03,10.565990447998047,10.683389663696289,10.216726303100586,10.454460144042969,496593
1999-02-04,10.59533977508545,10.888839721679688,10.565990447998047,10.882969856262207,948893
1999-02-05,11.064940452575684,11.387789726257324,10.836009979248047,11.387789726257324,1091994
1999-02-08,11.387789726257324,11.387789726257324,10.859490394592285,10.859490394592285,454003
1999-02-09,10.624690055847168,10.947540283203125,10.624690055847168,10.806659698486328,579216
1999-02-10,11.035590171813965,11.505188941955566,11.029720306396484,11.417140007019043,672061
1999-02-11,11.505188941955566,11.739989280700684,11.032654762268066,11.032654762268066,653322
1999-02-12,11.064940452575684,11.176469802856445,10.624690055847168,10.800789833068848,500852
1999-02-15,10.604145050048828,11.211689949035645,10.604145050048828,10.827204704284668,534072
1999-02-16,10.800789833068848,11.695963859558105,10.577730178833008,11.695963859558105,857752
1999-02-17,12.49721908569336,12.632227897644043,12.156759262084961,12.632227897644043,1190801
1999-02-18,13.471637725830078,13.471637725830078,12.444389343261719,12.50308895111084,1236798
1999-02-19,12.50308895111084,12.90811824798584,12.062838554382324,12.268288612365723,749574
1999-02-22,12.3827543258667,12.679187774658203,11.895544052124023,11.930764198303223,705281
1999-02-23,11.889674186706543,11.974788665771484,11.452360153198242,11.798688888549805,839864
1999-02-24,11.816299438476562,12.033489227294922,11.813364028930664,12.033489227294922,239352
1999-02-25,12.142084121704102,12.142084121704102,11.505188941955566,11.505188941955566,264906
1999-02-26,11.511058807373047,11.593238830566406,11.158860206604004,11.329090118408203,557070
1999-03-01,12.209589004516602,12.209589004516602,11.505188941955566,11.857389450073242,596252
1999-03-02,11.857389450073242,11.857389450073242,11.857389450073242,11.857389450073242,0
1999-03-03,12.50308895111084,12.50308895111084,11.857389450073242,12.027619361877441,827939
1999-03-04,12.033489227294922,12.033489227294922,11.622589111328125,11.901413917541504,319421
1999-03-05,12.018814086914062,12.855287551879883,11.927828788757324,12.855287551879883,874787
1999-03-08,13.885472297668457,13.885472297668457,13.885472297668457,13.885472297668457,113288
1999-03-09,14.997836112976074,14.997836112976074,13.559687614440918,14.997836112976074,3148213
1999-03-10,16.142484664916992,16.19824981689453,14.674986839294434,16.19824981689453,3576664
1999-03-11,16.435985565185547,17.433883666992188,15.91649055480957,16.49468421936035,3107328
1999-03-12,16.72948455810547,17.081684112548828,16.207054138183594,17.022985458374023,3474449
1999-03-15,16.641435623168945,18.185243606567383,16.641435623168945,17.37518310546875,4499152
1999-03-16,17.316484451293945,17.551284790039062,16.435985565185547,16.435985565185547,2953154
1999-03-17,17.609983444213867,17.750864028930664,16.738290786743164,17.257783889770508,4465932
1999-03-18,17.316484451293945,18.640167236328125,17.081684112548828,18.640167236328125,4816017
1999-03-19,19.077482223510742,19.077482223510742,17.316484451293945,17.668684005737305,3534074
1999-03-22,18.17937469482422,18.490482330322266,17.686294555664062,18.020883560180664,3274278
1999-03-23,18.12360954284668,18.4200439453125,17.32235336303711,17.40453338623047,2642251
1999-03-24,18.132413864135742,18.2204647064209,16.735355377197266,17.354639053344727,1462522
1999-03-25,17.316484451293945,17.442689895629883,16.72948455810547,17.140384674072266,760648
1999-03-26,16.794055938720703,17.169734954833984,16.083784103393555,16.55338478088379,916525
1999-03-29,16.55338478088379,16.55338478088379,16.55338478088379,16.55338478088379,0
1999-03-30,16.72948455810547,16.72948455810547,15.229701042175293,15.376450538635254,2109030
1999-03-31,15.68756103515625,16.43011474609375,15.590705871582031,15.825506210327148,3164397
1999-04-01,16.083784103393555,16.083784103393555,15.496786117553711,15.555485725402832,1412266
1999-04-02,15.555485725402832,15.555485725402832,15.555485725402832,15.555485725402832,0
1999-04-05,15.264921188354492,15.429281234741211,14.322787284851074,14.322787284851074,916525
1999-04-06,13.515663146972656,14.440187454223633,13.515663146972656,14.105596542358398,1274277
1999-04-07,14.440187454223633,15.235570907592773,14.269956588745117,14.498887062072754,1700171
1999-04-08,14.674986839294434,14.792387008666992,13.794486999511719,13.908951759338379,880750
1999-04-09,13.794486999511719,13.8003568649292,13.18400764465332,13.500988006591797,811755
1999-04-12,13.389457702636719,14.087986946105957,13.301407814025879,13.565558433532715,850085
1999-04-13,13.451092720031738,13.500988006591797,12.855287551879883,12.855287551879883,873936
1999-04-14,12.855287551879883,12.855287551879883,12.855287551879883,12.855287551879883,0
1999-04-15,12.620488166809082,13.201618194580078,11.828039169311523,11.828039169311523,2038332
1999-04-16,11.622589111328125,12.776042938232422,11.152990341186523,12.776042938232422,6942936
1999-04-19,10.976889610290527,11.610849380493164,10.862424850463867,11.299739837646484,1156730
1999-04-20,11.472904205322266,11.681288719177246,10.976889610290527,11.182339668273926,1373084
1999-04-21,11.329090118408203,11.739989280700684,11.329090118408203,11.537473678588867,861159
1999-04-22,11.563888549804688,12.46199893951416,11.563888549804688,12.46199893951416,3051961
1999-04-23,12.385688781738281,13.025518417358398,11.974788665771484,12.708538055419922,2955709
1999-04-26,11.713574409484863,13.26618766784668,11.713574409484863,12.49721908569336,4252984
1999-04-27,12.49721908569336,12.49721908569336,12.49721908569336,12.49721908569336,0
1999-04-28,12.356339454650879,13.324888229370117,12.356339454650879,13.148788452148438,2619252
1999-04-29,13.207488059997559,14.029287338256836,12.796587944030762,13.794486999511719,5073258
1999-04-30,13.829707145690918,14.898045539855957,12.740822792053223,13.612518310546875,7863720
1999-05-03,13.794486999511719,14.205387115478516,13.213357925415039,13.471637725830078,3712950
1999-05-04,13.445222854614258,14.140816688537598,13.445222854614258,13.794486999511719,3293869
1999-05-05,13.91482162475586,13.91482162475586,13.500988006591797,13.512727737426758,1676321
1999-05-06,13.500988006591797,13.583168029785156,13.09595775604248,13.207488059997559,1299830
1999-05-07,13.330758094787598,14.264086723327637,13.090087890625,13.618388175964355,4546000
1999-05-10,13.794486999511719,13.835577011108398,13.474573135375977,13.618388175964355,1637139
1999-05-11,13.647738456726074,14.704337120056152,13.618388175964355,14.704337120056152,4103070
1999-05-12,15.009575843811035,15.009575843811035,13.559687614440918,13.84731674194336,2821978
1999-05-13,14.087986946105957,14.381486892700195,13.911887168884277,14.035157203674316,2260649
1999-05-14,14.143752098083496,14.311046600341797,13.794486999511719,13.823837280273438,1953153
1999-05-17,14.020482063293457,14.440187454223633,13.680023193359375,14.176036834716797,3408009
1999-05-18,14.205387115478516,14.645636558532715,14.058636665344238,14.146686553955078,3074108
1999-05-19,14.522366523742676,15.279596328735352,14.176036834716797,15.279596328735352,4587738
1999-05-20,15.496786117553711,15.496786117553711,14.557586669921875,14.674986839294434,3661843
1999-05-21,14.763036727905273,14.848152160644531,13.677087783813477,13.885472297668457,2563886
1999-05-24,13.91482162475586,13.941237449645996,13.521533012390137,13.77981185913086,1179728
1999-05-25,13.77981185913086,14.029287338256836,13.603713035583496,13.721113204956055,2614993
1999-05-26,13.897212028503418,14.026351928710938,12.796587944030762,13.148788452148438,3269168
1999-05-27,12.91398811340332,13.677087783813477,12.679187774658203,12.679187774658203,2747021
1999-05-28,12.620488166809082,12.620488166809082,11.666613578796387,12.15088939666748,3688248
1999-05-31,12.156759262084961,12.73788833618164,12.156759262084961,12.620488166809082,2101364
1999-06-01,12.4502592086792,12.561788558959961,11.960113525390625,11.960113525390625,1890120
1999-06-02,12.092188835144043,12.3827543258667,12.030553817749023,12.282963752746582,983816
1999-06-03,12.32698917388916,12.561788558959961,12.268288612365723,12.280029296875,873936
1999-06-04,12.42090892791748,12.84061336517334,12.42090892791748,12.602877616882324,2507668
1999-06-07,12.620488166809082,13.383587837219238,12.620488166809082,13.16346263885498,3001706
1999-06-08,13.00203800201416,13.618388175964355,12.796587944030762,13.35423755645752,2275981
1999-06-09,13.495118141174316,13.677087783813477,13.17813777923584,13.22509765625,1564737
1999-06-10,13.559687614440918,13.612518310546875,13.139983177185059,13.207488059997559,764055
1999-06-11,13.154658317565918,13.20455265045166,12.86115837097168,13.060737609863281,1290461
1999-06-14,12.062838554382324,12.6498384475708,12.062838554382324,12.57059383392334,838160
1999-06-15,12.679187774658203,12.91398811340332,12.268288612365723,12.365143775939941,1581773
1999-06-16,12.45612907409668,12.796587944030762,12.338728904724121,12.723213195800781,975298
1999-06-17,12.679187774658203,13.442288398742676,12.679187774658203,13.181073188781738,2537480
1999-06-18,13.295537948608398,13.677087783813477,12.972687721252441,13.107698440551758,2310053
1999-06-21,13.559687614440918,13.794486999511719,13.324888229370117,13.477507591247559,3321127
1999-06-22,13.500988006591797,13.559687614440918,13.031388282775879,13.16346263885498,2088587
1999-06-23,13.324888229370117,13.442288398742676,12.9198579788208,13.02845287322998,1980410
1999-06-24,12.91398811340332,13.031388282775879,12.69092845916748,12.984428405761719,730835
1999-06-25,12.978557586669922,13.17813777923584,12.620488166809082,12.685057640075684,1491483
1999-06-28,12.855287551879883,13.060737609863281,12.802457809448242,12.916922569274902,902896
1999-06-29,13.148788452148438,13.324888229370117,12.972687721252441,13.107698440551758,2280240
